Geography,Geographic Area Name,total_population,population_65,population_male,population_18_29
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,5187,69,2466,4114
1400000US12001001803,Census Tract 18.03; Alachua County; Florida,6618,1451,3102,658
1400000US12001001811,Census Tract 18.11; Alachua County; Florida,6974,1290,3506,1202
1400000US12001001813,Census Tract 18.13; Alachua County; Florida,4219,736,2198,405
1400000US12001001815,Census Tract 18.15; Alachua County; Florida,1897,328,783,224
1400000US12001001816,Census Tract 18.16; Alachua County; Florida,5641,893,2954,345
1400000US12001001817,Census Tract 18.17; Alachua County; Florida,4860,1164,2198,653
1400000US12001001818,Census Tract 18.18; Alachua County; Florida,5187,793,2542,725
1400000US12001001819,Census Tract 18.19; Alachua County; Florida,4478,899,1650,727
1400000US12001001902,Census Tract 19.02; Alachua County; Florida,3816,633,2048,794
1400000US12001001907,Census Tract 19.07; Alachua County; Florida,2433,681,1167,257
1400000US12001001908,Census Tract 19.08; Alachua County; Florida,5259,1204,2759,890
1400000US12001002001,Census Tract 20.01; Alachua County; Florida,1402,283,755,272
1400000US12001002002,Census Tract 20.02; Alachua County; Florida,3988,846,1985,367
1400000US12001002101,Census Tract 21.01; Alachua County; Florida,1961,605,987,234
1400000US12001002102,Census Tract 21.02; Alachua County; Florida,904,292,439,42
1400000US12001002201,Census Tract 22.01; Alachua County; Florida,6390,861,3180,533
1400000US12001002202,Census Tract 22.02; Alachua County; Florida,6438,1344,2695,590
1400000US12001002204,Census Tract 22.04; Alachua County; Florida,12195,2233,5892,1322
1400000US12001002207,Census Tract 22.07; Alachua County; Florida,3738,806,2050,402
1400000US12001002208,Census Tract 22.08; Alachua County; Florida,3091,569,1522,359
1400000US12001002209,Census Tract 22.09; Alachua County; Florida,8419,1267,4337,703
1400000US12001002210,Census Tract 22.10; Alachua County; Florida,5596,776,2822,998
1400000US12001002217,Census Tract 22.17; Alachua County; Florida,5877,374,2400,2107
1400000US12001002218,Census Tract 22.18; Alachua County; Florida,2606,170,1201,576
1400000US12001002219,Census Tract 22.19; Alachua County; Florida,7064,1124,3670,1168
1400000US12001002220,Census Tract 22.20; Alachua County; Florida,2840,502,1395,356
1400000US12001002221,Census Tract 22.21; Alachua County; Florida,5535,914,2977,861
1400000US12001002222,Census Tract 22.22; Alachua County; Florida,7173,1536,3687,561
1400000US12001110800,Census Tract 1108; Alachua County; Florida,2196,906,895,659
1400000US12003040101,Census Tract 401.01; Baker County; Florida,8559,1098,4537,1306
1400000US12003040102,Census Tract 401.02; Baker County; Florida,7456,1474,3922,1279
1400000US12003040201,Census Tract 402.01; Baker County; Florida,6638,927,3768,999
1400000US12003040202,Census Tract 402.02; Baker County; Florida,5533,754,2621,677
1400000US12005000201,Census Tract 2.01; Bay County; Florida,5589,820,2529,577
1400000US12005000203,Census Tract 2.03; Bay County; Florida,2936,598,1453,363
1400000US12005000204,Census Tract 2.04; Bay County; Florida,3868,808,1826,337
1400000US12005000301,Census Tract 3.01; Bay County; Florida,3073,364,1807,498
1400000US12005000302,Census Tract 3.02; Bay County; Florida,7106,579,4027,852
1400000US12005000401,Census Tract 4.01; Bay County; Florida,2110,234,953,321
1400000US12005000402,Census Tract 4.02; Bay County; Florida,7861,1262,4014,631
1400000US12005000500,Census Tract 5; Bay County; Florida,7845,894,4116,1321
1400000US12005000600,Census Tract 6; Bay County; Florida,1033,385,554,40
1400000US12005000700,Census Tract 7; Bay County; Florida,379,0,265,306
1400000US12005000803,Census Tract 8.03; Bay County; Florida,4196,560,2102,891
1400000US12005000804,Census Tract 8.04; Bay County; Florida,2864,569,1562,462
1400000US12005000805,Census Tract 8.05; Bay County; Florida,4263,723,2217,710
1400000US12005000806,Census Tract 8.06; Bay County; Florida,3565,608,1856,627
1400000US12005000900,Census Tract 9; Bay County; Florida,4328,786,2097,594
1400000US12005001000,Census Tract 10; Bay County; Florida,2067,486,1101,223
1400000US12005001100,Census Tract 11; Bay County; Florida,4547,1063,2360,525
1400000US12005001200,Census Tract 12; Bay County; Florida,2706,290,1242,426
1400000US12005001301,Census Tract 13.01; Bay County; Florida,4939,688,2477,402
1400000US12005001302,Census Tract 13.02; Bay County; Florida,6560,1120,3302,657
1400000US12005001402,Census Tract 14.02; Bay County; Florida,6764,1333,3368,1096
1400000US12005001403,Census Tract 14.03; Bay County; Florida,1817,265,863,240
1400000US12005001404,Census Tract 14.04; Bay County; Florida,7000,1175,3187,1739
1400000US12005001501,Census Tract 15.01; Bay County; Florida,5623,1334,2799,823
1400000US12005001502,Census Tract 15.02; Bay County; Florida,5221,1097,2522,1053
1400000US12005001600,Census Tract 16; Bay County; Florida,2692,425,1053,279
1400000US12005001700,Census Tract 17; Bay County; Florida,2537,561,1151,335
1400000US12005001800,Census Tract 18; Bay County; Florida,1174,151,507,141
1400000US12005001900,Census Tract 19; Bay County; Florida,3742,820,1762,286
1400000US12005002000,Census Tract 20; Bay County; Florida,1261,268,603,181
1400000US12005002200,Census Tract 22; Bay County; Florida,4264,384,2186,575
1400000US12005002300,Census Tract 23; Bay County; Florida,3362,775,1784,776
1400000US12005002400,Census Tract 24; Bay County; Florida,4171,561,1821,683
1400000US12005002500,Census Tract 25; Bay County; Florida,2873,864,1276,274
1400000US12005002604,Census Tract 26.04; Bay County; Florida,7492,1425,3678,875
1400000US12005002605,Census Tract 26.05; Bay County; Florida,1673,464,866,172
1400000US12005002606,Census Tract 26.06; Bay County; Florida,1578,380,700,115
1400000US12005002607,Census Tract 26.07; Bay County; Florida,1061,374,554,34
1400000US12005002608,Census Tract 26.08; Bay County; Florida,3910,1265,1748,214
1400000US12005002609,Census Tract 26.09; Bay County; Florida,5760,947,2948,604
1400000US12005002703,Census Tract 27.03; Bay County; Florida,3527,724,1871,536
1400000US12005002706,Census Tract 27.06; Bay County; Florida,2514,426,1241,238
1400000US12005002707,Census Tract 27.07; Bay County; Florida,2823,1058,1503,302
1400000US12005002708,Census Tract 27.08; Bay County; Florida,828,310,445,47
1400000US12005002709,Census Tract 27.09; Bay County; Florida,3284,604,1625,829
1400000US12005002710,Census Tract 27.10; Bay County; Florida,6326,781,3214,1092
1400000US12005002711,Census Tract 27.11; Bay County; Florida,3036,707,1439,317
1400000US12005002712,Census Tract 27.12; Bay County; Florida,2105,382,1011,393
1400000US12005002713,Census Tract 27.13; Bay County; Florida,1115,368,549,61
1400000US12005990000,Census Tract 9900; Bay County; Florida,0,0,0,0
1400000US12007000100,Census Tract 1; Bradford County; Florida,6057,1240,2689,569
1400000US12007000201,Census Tract 2.01; Bradford County; Florida,4813,837,2846,885
1400000US12007000202,Census Tract 2.02; Bradford County; Florida,3173,490,1692,649
1400000US12007000301,Census Tract 3.01; Bradford County; Florida,4066,1100,2238,504
1400000US12007000302,Census Tract 3.02; Bradford County; Florida,3556,617,1827,346
1400000US12007000400,Census Tract 4; Bradford County; Florida,6223,771,3889,808
1400000US12009060103,Census Tract 601.03; Brevard County; Florida,2686,688,1360,233
1400000US12009060104,Census Tract 601.04; Brevard County; Florida,1304,612,650,110
1400000US12009060105,Census Tract 601.05; Brevard County; Florida,2413,725,1183,263
1400000US12009060106,Census Tract 601.06; Brevard County; Florida,1713,427,892,213
1400000US12009060201,Census Tract 602.01; Brevard County; Florida,2580,594,1205,231
1400000US12009060202,Census Tract 602.02; Brevard County; Florida,3077,795,1535,195
1400000US12009060301,Census Tract 603.01; Brevard County; Florida,2221,325,984,402
1400000US12009060302,Census Tract 603.02; Brevard County; Florida,2760,837,1388,146
1400000US12009060400,Census Tract 604; Brevard County; Florida,4323,1214,2366,472
1400000US12009060500,Census Tract 605; Brevard County; Florida,5087,1565,2343,409
1400000US12009060600,Census Tract 606; Brevard County; Florida,5776,1244,2944,962
1400000US12009060700,Census Tract 607; Brevard County; Florida,2424,488,1035,489
1400000US12009061001,Census Tract 610.01; Brevard County; Florida,6256,1664,2777,937
1400000US12009061002,Census Tract 610.02; Brevard County; Florida,2829,567,1456,693
1400000US12009061100,Census Tract 611; Brevard County; Florida,6861,1719,3583,743
1400000US12009061201,Census Tract 612.01; Brevard County; Florida,8898,1583,3917,1195
1400000US12009061202,Census Tract 612.02; Brevard County; Florida,3499,1075,1931,364
1400000US12009062106,Census Tract 621.06; Brevard County; Florida,3170,709,1478,445
1400000US12009062108,Census Tract 621.08; Brevard County; Florida,7547,1201,3948,1027
1400000US12009062109,Census Tract 621.09; Brevard County; Florida,4192,823,2567,580
1400000US12009062110,Census Tract 621.10; Brevard County; Florida,3362,635,1594,468
1400000US12009062111,Census Tract 621.11; Brevard County; Florida,3449,558,1551,404
1400000US12009062112,Census Tract 621.12; Brevard County; Florida,1230,325,677,73
1400000US12009062113,Census Tract 621.13; Brevard County; Florida,5909,1647,2948,753
1400000US12009062114,Census Tract 621.14; Brevard County; Florida,2102,393,1112,294
1400000US12009062115,Census Tract 621.15; Brevard County; Florida,2096,857,1055,118
1400000US12009062301,Census Tract 623.01; Brevard County; Florida,2809,463,1564,475
1400000US12009062302,Census Tract 623.02; Brevard County; Florida,4299,684,1824,516
1400000US12009062401,Census Tract 624.01; Brevard County; Florida,1700,409,789,177
1400000US12009062402,Census Tract 624.02; Brevard County; Florida,5090,557,2742,766
1400000US12009062500,Census Tract 625; Brevard County; Florida,3482,1010,1538,479
1400000US12009062600,Census Tract 626; Brevard County; Florida,3260,315,1658,580
1400000US12009062800,Census Tract 628; Brevard County; Florida,3986,1148,2041,542
1400000US12009062900,Census Tract 629; Brevard County; Florida,5685,1197,2731,1163
1400000US12009063000,Census Tract 630; Brevard County; Florida,4552,741,2162,396
1400000US12009063102,Census Tract 631.02; Brevard County; Florida,8513,2694,3776,962
1400000US12009063104,Census Tract 631.04; Brevard County; Florida,4271,901,2068,549
1400000US12009063105,Census Tract 631.05; Brevard County; Florida,9897,2137,4463,1918
1400000US12009063106,Census Tract 631.06; Brevard County; Florida,5669,742,2820,637
1400000US12009063108,Census Tract 631.08; Brevard County; Florida,5721,2369,2682,491
1400000US12009063109,Census Tract 631.09; Brevard County; Florida,4943,1537,2190,326
1400000US12009064102,Census Tract 641.02; Brevard County; Florida,5760,1322,2867,808
1400000US12009064123,Census Tract 641.23; Brevard County; Florida,6090,1546,2931,1230
1400000US12009064124,Census Tract 641.24; Brevard County; Florida,4593,990,2232,422
1400000US12009064126,Census Tract 641.26; Brevard County; Florida,4129,1021,1939,772
1400000US12009064127,Census Tract 641.27; Brevard County; Florida,9178,2363,4503,1134
1400000US12009064128,Census Tract 641.28; Brevard County; Florida,11917,2679,6043,1421
1400000US12009064129,Census Tract 641.29; Brevard County; Florida,2490,1005,1111,106
1400000US12009064130,Census Tract 641.30; Brevard County; Florida,4029,823,2035,355
1400000US12009064201,Census Tract 642.01; Brevard County; Florida,2651,562,1221,228
1400000US12009064202,Census Tract 642.02; Brevard County; Florida,2966,719,1377,492
1400000US12009064301,Census Tract 643.01; Brevard County; Florida,5146,1238,2519,845
1400000US12009064302,Census Tract 643.02; Brevard County; Florida,6361,1206,3063,1265
1400000US12009064400,Census Tract 644; Brevard County; Florida,5570,1029,2719,693
1400000US12009064500,Census Tract 645; Brevard County; Florida,3791,880,1843,610
1400000US12009064601,Census Tract 646.01; Brevard County; Florida,8526,2207,3797,895
1400000US12009064602,Census Tract 646.02; Brevard County; Florida,2405,707,1365,285
1400000US12009064701,Census Tract 647.01; Brevard County; Florida,3120,616,1685,484
1400000US12009064702,Census Tract 647.02; Brevard County; Florida,1549,830,875,353
1400000US12009064800,Census Tract 648; Brevard County; Florida,3304,805,1666,470
1400000US12009064901,Census Tract 649.01; Brevard County; Florida,7328,1334,3843,2986
1400000US12009064902,Census Tract 649.02; Brevard County; Florida,4516,1321,2277,750
1400000US12009065001,Census Tract 650.01; Brevard County; Florida,4412,650,2261,724
1400000US12009065022,Census Tract 650.22; Brevard County; Florida,5349,1291,2760,589
1400000US12009065023,Census Tract 650.23; Brevard County; Florida,4209,853,2328,770
1400000US12009065024,Census Tract 650.24; Brevard County; Florida,6785,1217,3334,769
1400000US12009065025,Census Tract 650.25; Brevard County; Florida,1892,601,870,88
1400000US12009065123,Census Tract 651.23; Brevard County; Florida,3752,1000,1900,652
1400000US12009065124,Census Tract 651.24; Brevard County; Florida,2933,531,1594,629
1400000US12009065126,Census Tract 651.26; Brevard County; Florida,3217,857,1644,392
1400000US12009065127,Census Tract 651.27; Brevard County; Florida,4537,1106,2036,566
1400000US12009065128,Census Tract 651.28; Brevard County; Florida,3351,574,1696,629
1400000US12009065129,Census Tract 651.29; Brevard County; Florida,4692,1395,2188,686
1400000US12009065130,Census Tract 651.30; Brevard County; Florida,3165,785,1731,424
1400000US12009065131,Census Tract 651.31; Brevard County; Florida,2970,505,1593,490
1400000US12009065201,Census Tract 652.01; Brevard County; Florida,5546,1397,2961,821
1400000US12009065202,Census Tract 652.02; Brevard County; Florida,6288,1731,3159,783
1400000US12009065231,Census Tract 652.31; Brevard County; Florida,6442,1668,3038,732
1400000US12009065236,Census Tract 652.36; Brevard County; Florida,1887,729,925,168
1400000US12009065237,Census Tract 652.37; Brevard County; Florida,3177,1969,1507,32
1400000US12009065238,Census Tract 652.38; Brevard County; Florida,390,179,214,13
1400000US12009065239,Census Tract 652.39; Brevard County; Florida,3457,1681,1494,267
1400000US12009065240,Census Tract 652.40; Brevard County; Florida,2198,1363,1104,37
1400000US12009066101,Census Tract 661.01; Brevard County; Florida,4202,1432,2073,269
1400000US12009066103,Census Tract 661.03; Brevard County; Florida,2431,1485,1043,102
1400000US12009066104,Census Tract 661.04; Brevard County; Florida,4535,2057,2268,153
1400000US12009066200,Census Tract 662; Brevard County; Florida,2942,668,1657,203
1400000US12009066301,Census Tract 663.01; Brevard County; Florida,6590,1885,3242,550
1400000US12009066302,Census Tract 663.02; Brevard County; Florida,4605,1014,2440,596
1400000US12009066400,Census Tract 664; Brevard County; Florida,5501,1440,2908,672
1400000US12009066500,Census Tract 665; Brevard County; Florida,3835,1082,1874,374
1400000US12009066600,Census Tract 666; Brevard County; Florida,4706,956,2197,269
1400000US12009066700,Census Tract 667; Brevard County; Florida,5047,866,2604,596
1400000US12009066800,Census Tract 668; Brevard County; Florida,1700,238,847,339
1400000US12009066900,Census Tract 669; Brevard County; Florida,6523,1671,3112,1047
1400000US12009067100,Census Tract 671; Brevard County; Florida,1606,137,884,512
1400000US12009068101,Census Tract 681.01; Brevard County; Florida,3348,714,1590,187
1400000US12009068102,Census Tract 681.02; Brevard County; Florida,2132,758,1152,106
1400000US12009068400,Census Tract 684; Brevard County; Florida,1992,579,1026,214
1400000US12009068501,Census Tract 685.01; Brevard County; Florida,2487,748,1176,160
1400000US12009068502,Census Tract 685.02; Brevard County; Florida,2378,611,1222,95
1400000US12009068601,Census Tract 686.01; Brevard County; Florida,2323,836,1300,60
1400000US12009068603,Census Tract 686.03; Brevard County; Florida,1543,391,1030,78
1400000US12009068604,Census Tract 686.04; Brevard County; Florida,1992,1061,917,41
1400000US12009069100,Census Tract 691; Brevard County; Florida,4660,1144,2450,429
1400000US12009069200,Census Tract 692; Brevard County; Florida,2394,582,1156,191
1400000US12009069300,Census Tract 693; Brevard County; Florida,3105,759,1643,234
1400000US12009069400,Census Tract 694; Brevard County; Florida,6441,1919,3224,391
1400000US12009069700,Census Tract 697; Brevard County; Florida,2681,453,1229,428
1400000US12009069801,Census Tract 698.01; Brevard County; Florida,3838,1165,2061,521
1400000US12009069802,Census Tract 698.02; Brevard County; Florida,4107,887,2030,449
1400000US12009069903,Census Tract 699.03; Brevard County; Florida,3130,653,1824,356
1400000US12009069904,Census Tract 699.04; Brevard County; Florida,5773,1725,2650,580
1400000US12009069905,Census Tract 699.05; Brevard County; Florida,0,0,0,0
1400000US12009069906,Census Tract 699.06; Brevard County; Florida,2064,338,1089,225
1400000US12009069907,Census Tract 699.07; Brevard County; Florida,2807,923,1429,227
1400000US12009071100,Census Tract 711; Brevard County; Florida,3787,1872,1839,331
1400000US12009071201,Census Tract 712.01; Brevard County; Florida,8568,2734,4045,694
1400000US12009071202,Census Tract 712.02; Brevard County; Florida,1769,356,838,193
1400000US12009071203,Census Tract 712.03; Brevard County; Florida,3881,409,1827,883
1400000US12009071204,Census Tract 712.04; Brevard County; Florida,198,24,164,5
1400000US12009071205,Census Tract 712.05; Brevard County; Florida,6001,1473,2854,564
1400000US12009071335,Census Tract 713.35; Brevard County; Florida,5558,1200,2628,1129
1400000US12009071337,Census Tract 713.37; Brevard County; Florida,7351,1335,3757,960
1400000US12009071339,Census Tract 713.39; Brevard County; Florida,9202,1309,4605,1281
1400000US12009071341,Census Tract 713.41; Brevard County; Florida,6925,728,3236,699
1400000US12009071342,Census Tract 713.42; Brevard County; Florida,4210,717,2050,487
1400000US12009071343,Census Tract 713.43; Brevard County; Florida,5866,964,2933,374
1400000US12009071344,Census Tract 713.44; Brevard County; Florida,5543,1237,2507,554
1400000US12009071345,Census Tract 713.45; Brevard County; Florida,7163,1696,3369,1027
1400000US12009071346,Census Tract 713.46; Brevard County; Florida,9486,1043,4440,1505
1400000US12009071347,Census Tract 713.47; Brevard County; Florida,7774,1017,3673,1173
1400000US12009071348,Census Tract 713.48; Brevard County; Florida,8229,1073,3906,881
1400000US12009071349,Census Tract 713.49; Brevard County; Florida,4860,695,2409,724
1400000US12009071350,Census Tract 713.50; Brevard County; Florida,5708,954,2945,1026
1400000US12009071351,Census Tract 713.51; Brevard County; Florida,3318,705,1399,467
1400000US12009071352,Census Tract 713.52; Brevard County; Florida,3875,1422,1881,95
1400000US12009071353,Census Tract 713.53; Brevard County; Florida,6207,1174,2995,390
1400000US12009071354,Census Tract 713.54; Brevard County; Florida,7162,1775,3925,920
1400000US12009071401,Census Tract 714.01; Brevard County; Florida,1382,593,664,140
1400000US12009071402,Census Tract 714.02; Brevard County; Florida,1879,270,898,419
1400000US12009071500,Census Tract 715; Brevard County; Florida,2654,1044,1354,296
1400000US12009071601,Census Tract 716.01; Brevard County; Florida,1851,509,843,224
1400000US12009071602,Census Tract 716.02; Brevard County; Florida,3337,760,1561,597
1400000US12009071700,Census Tract 717; Brevard County; Florida,5649,2438,2972,348
1400000US12009980000,Census Tract 9800; Brevard County; Florida,13,0,7,13
1400000US12009980100,Census Tract 9801; Brevard County; Florida,0,0,0,0
1400000US12009990000,Census Tract 9900; Brevard County; Florida,0,0,0,0
1400000US12011010102,Census Tract 101.02; Broward County; Florida,2790,716,1425,264
1400000US12011010103,Census Tract 101.03; Broward County; Florida,3512,1562,1727,254
1400000US12011010104,Census Tract 101.04; Broward County; Florida,2274,949,1131,220
1400000US12011010201,Census Tract 102.01; Broward County; Florida,3037,415,1701,681
1400000US12011010202,Census Tract 102.02; Broward County; Florida,3939,833,2051,499
1400000US12011010304,Census Tract 103.04; Broward County; Florida,3838,704,1462,481
1400000US12011010305,Census Tract 103.05; Broward County; Florida,6167,769,2851,1475
1400000US12011010306,Census Tract 103.06; Broward County; Florida,2624,271,1095,576
1400000US12011010307,Census Tract 103.07; Broward County; Florida,5368,1013,2530,631
1400000US12011010308,Census Tract 103.08; Broward County; Florida,4595,1657,2147,594
1400000US12011010401,Census Tract 104.01; Broward County; Florida,5589,939,2643,837
1400000US12011010402,Census Tract 104.02; Broward County; Florida,3708,1638,1441,152
1400000US12011010403,Census Tract 104.03; Broward County; Florida,4262,3541,1649,33
1400000US12011010405,Census Tract 104.05; Broward County; Florida,9576,803,4425,1545
1400000US12011010406,Census Tract 104.06; Broward County; Florida,4690,857,2348,490
1400000US12011010407,Census Tract 104.07; Broward County; Florida,5985,1501,2701,866
1400000US12011010502,Census Tract 105.02; Broward County; Florida,3065,431,1466,638
1400000US12011010503,Census Tract 105.03; Broward County; Florida,24659,2374,12305,2434
1400000US12011010504,Census Tract 105.04; Broward County; Florida,5617,852,2954,533
1400000US12011010601,Census Tract 106.01; Broward County; Florida,8106,1615,4070,940
1400000US12011010603,Census Tract 106.03; Broward County; Florida,5496,870,2627,859
1400000US12011010604,Census Tract 106.04; Broward County; Florida,4166,613,1843,548
1400000US12011010605,Census Tract 106.05; Broward County; Florida,7517,1112,3830,749
1400000US12011010606,Census Tract 106.06; Broward County; Florida,8125,921,3936,1217
1400000US12011010609,Census Tract 106.09; Broward County; Florida,4835,430,2456,766
1400000US12011010610,Census Tract 106.10; Broward County; Florida,6799,825,3738,874
1400000US12011010611,Census Tract 106.11; Broward County; Florida,3694,558,1927,297
1400000US12011010612,Census Tract 106.12; Broward County; Florida,6515,796,3430,510
1400000US12011010613,Census Tract 106.13; Broward County; Florida,2261,322,1023,355
1400000US12011010614,Census Tract 106.14; Broward County; Florida,2544,386,1129,538
1400000US12011010615,Census Tract 106.15; Broward County; Florida,4914,520,2556,550
1400000US12011010701,Census Tract 107.01; Broward County; Florida,5720,769,2995,362
1400000US12011010702,Census Tract 107.02; Broward County; Florida,9980,1531,3898,1615
1400000US12011010800,Census Tract 108; Broward County; Florida,8237,598,4642,800
1400000US12011010901,Census Tract 109.01; Broward County; Florida,2096,686,970,154
1400000US12011010902,Census Tract 109.02; Broward County; Florida,3417,1080,1952,293
1400000US12011011000,Census Tract 110; Broward County; Florida,2020,1083,851,98
1400000US12011020101,Census Tract 201.01; Broward County; Florida,8913,1215,3869,985
1400000US12011020103,Census Tract 201.03; Broward County; Florida,5322,710,2455,714
1400000US12011020104,Census Tract 201.04; Broward County; Florida,2837,535,1327,453
1400000US12011020204,Census Tract 202.04; Broward County; Florida,6484,1379,2861,740
1400000US12011020205,Census Tract 202.05; Broward County; Florida,6410,1252,3040,633
1400000US12011020206,Census Tract 202.06; Broward County; Florida,4623,788,2391,431
1400000US12011020209,Census Tract 202.09; Broward County; Florida,2350,456,1252,335
1400000US12011020210,Census Tract 202.10; Broward County; Florida,6086,1365,2690,707
1400000US12011020211,Census Tract 202.11; Broward County; Florida,2680,911,1030,251
1400000US12011020212,Census Tract 202.12; Broward County; Florida,4039,1809,1600,280
1400000US12011020213,Census Tract 202.13; Broward County; Florida,3890,1852,2168,606
1400000US12011020214,Census Tract 202.14; Broward County; Florida,2372,486,995,234
1400000US12011020302,Census Tract 203.02; Broward County; Florida,9111,1267,4195,1130
1400000US12011020308,Census Tract 203.08; Broward County; Florida,6206,386,3282,780
1400000US12011020309,Census Tract 203.09; Broward County; Florida,6055,521,2807,1171
1400000US12011020311,Census Tract 203.11; Broward County; Florida,3753,487,1945,434
1400000US12011020312,Census Tract 203.12; Broward County; Florida,4968,462,2315,829
1400000US12011020313,Census Tract 203.13; Broward County; Florida,6198,680,2449,872
1400000US12011020314,Census Tract 203.14; Broward County; Florida,5751,962,2507,784
1400000US12011020315,Census Tract 203.15; Broward County; Florida,5421,658,2668,917
1400000US12011020316,Census Tract 203.16; Broward County; Florida,4144,477,1979,701
1400000US12011020317,Census Tract 203.17; Broward County; Florida,3080,360,1483,451
1400000US12011020318,Census Tract 203.18; Broward County; Florida,10142,1299,4939,1433
1400000US12011020319,Census Tract 203.19; Broward County; Florida,6484,1013,3314,888
1400000US12011020320,Census Tract 203.20; Broward County; Florida,4676,532,2113,837
1400000US12011020321,Census Tract 203.21; Broward County; Florida,2205,309,1106,238
1400000US12011020322,Census Tract 203.22; Broward County; Florida,4055,474,2039,649
1400000US12011020323,Census Tract 203.23; Broward County; Florida,3826,490,1813,663
1400000US12011020324,Census Tract 203.24; Broward County; Florida,7067,1301,2780,1109
1400000US12011020325,Census Tract 203.25; Broward County; Florida,4132,432,1524,413
1400000US12011020326,Census Tract 203.26; Broward County; Florida,6250,546,3185,1046
1400000US12011020404,Census Tract 204.04; Broward County; Florida,8992,756,4629,1376
1400000US12011020405,Census Tract 204.05; Broward County; Florida,5041,568,2571,991
1400000US12011020406,Census Tract 204.06; Broward County; Florida,7049,1168,3555,906
1400000US12011020407,Census Tract 204.07; Broward County; Florida,8789,872,4381,1567
1400000US12011020412,Census Tract 204.12; Broward County; Florida,3553,247,1802,569
1400000US12011020414,Census Tract 204.14; Broward County; Florida,4955,1872,2271,622
1400000US12011020415,Census Tract 204.15; Broward County; Florida,3610,1148,1877,300
1400000US12011020416,Census Tract 204.16; Broward County; Florida,3672,646,1642,348
1400000US12011020417,Census Tract 204.17; Broward County; Florida,5467,4375,1858,96
1400000US12011020418,Census Tract 204.18; Broward County; Florida,3297,590,1380,438
1400000US12011020419,Census Tract 204.19; Broward County; Florida,3591,406,1771,781
1400000US12011020420,Census Tract 204.20; Broward County; Florida,3969,162,1605,1092
1400000US12011020421,Census Tract 204.21; Broward County; Florida,4283,428,1712,1178
1400000US12011020501,Census Tract 205.01; Broward County; Florida,5677,670,2879,798
1400000US12011020502,Census Tract 205.02; Broward County; Florida,7874,1177,3402,1447
1400000US12011030100,Census Tract 301; Broward County; Florida,4038,1004,1836,274
1400000US12011030201,Census Tract 302.01; Broward County; Florida,3968,344,2055,796
1400000US12011030202,Census Tract 302.02; Broward County; Florida,1507,99,879,211
1400000US12011030203,Census Tract 302.03; Broward County; Florida,4506,471,2408,507
1400000US12011030301,Census Tract 303.01; Broward County; Florida,3543,161,1999,760
1400000US12011030302,Census Tract 303.02; Broward County; Florida,7493,1328,4158,1292
1400000US12011030401,Census Tract 304.01; Broward County; Florida,3232,507,1862,525
1400000US12011030402,Census Tract 304.02; Broward County; Florida,4568,451,2510,812
1400000US12011030500,Census Tract 305; Broward County; Florida,6458,283,3319,1396
1400000US12011030601,Census Tract 306.01; Broward County; Florida,4358,245,2831,1089
