Geography,Geographic Area Name,population_25p_bachelors_or_higher
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,807
1400000US12005001402,Census Tract 14.02; Bay County; Florida,1623
1400000US12005001403,Census Tract 14.03; Bay County; Florida,350
1400000US12005001404,Census Tract 14.04; Bay County; Florida,1394
1400000US12005001501,Census Tract 15.01; Bay County; Florida,1570
1400000US12005001502,Census Tract 15.02; Bay County; Florida,1515
1400000US12005001600,Census Tract 16; Bay County; Florida,78
1400000US12005001700,Census Tract 17; Bay County; Florida,215
1400000US12005001800,Census Tract 18; Bay County; Florida,68
1400000US12005001900,Census Tract 19; Bay County; Florida,1220
1400000US12005002000,Census Tract 20; Bay County; Florida,190
1400000US12005002200,Census Tract 22; Bay County; Florida,496
1400000US12005002300,Census Tract 23; Bay County; Florida,601
1400000US12005002400,Census Tract 24; Bay County; Florida,381
1400000US12005002500,Census Tract 25; Bay County; Florida,1022
1400000US12005002604,Census Tract 26.04; Bay County; Florida,2182
1400000US12005002605,Census Tract 26.05; Bay County; Florida,560
1400000US12005002606,Census Tract 26.06; Bay County; Florida,553
1400000US12005002607,Census Tract 26.07; Bay County; Florida,264
1400000US12005002608,Census Tract 26.08; Bay County; Florida,1336
1400000US12005002609,Census Tract 26.09; Bay County; Florida,1732
1400000US12005002703,Census Tract 27.03; Bay County; Florida,1131
1400000US12005002706,Census Tract 27.06; Bay County; Florida,462
1400000US12005002707,Census Tract 27.07; Bay County; Florida,842
1400000US12005002708,Census Tract 27.08; Bay County; Florida,357
1400000US12005002709,Census Tract 27.09; Bay County; Florida,714
1400000US12005002710,Census Tract 27.10; Bay County; Florida,1778
1400000US12005002711,Census Tract 27.11; Bay County; Florida,959
1400000US12005002712,Census Tract 27.12; Bay County; Florida,564
1400000US12005002713,Census Tract 27.13; Bay County; Florida,305
1400000US12005990000,Census Tract 9900; Bay County; Florida,0
1400000US12007000100,Census Tract 1; Bradford County; Florida,820
1400000US12007000201,Census Tract 2.01; Bradford County; Florida,384
1400000US12007000202,Census Tract 2.02; Bradford County; Florida,378
1400000US12007000301,Census Tract 3.01; Bradford County; Florida,788
1400000US12007000302,Census Tract 3.02; Bradford County; Florida,341
1400000US12007000400,Census Tract 4; Bradford County; Florida,324
1400000US12009060103,Census Tract 601.03; Brevard County; Florida,425
1400000US12009060104,Census Tract 601.04; Brevard County; Florida,42
1400000US12009060105,Census Tract 601.05; Brevard County; Florida,262
1400000US12009060106,Census Tract 601.06; Brevard County; Florida,350
1400000US12009060201,Census Tract 602.01; Brevard County; Florida,898
1400000US12009060202,Census Tract 602.02; Brevard County; Florida,593
1400000US12009060301,Census Tract 603.01; Brevard County; Florida,316
1400000US12009060302,Census Tract 603.02; Brevard County; Florida,400
1400000US12009060400,Census Tract 604; Brevard County; Florida,591
1400000US12009060500,Census Tract 605; Brevard County; Florida,1376
1400000US12009060600,Census Tract 606; Brevard County; Florida,1244
1400000US12009060700,Census Tract 607; Brevard County; Florida,162
1400000US12009061001,Census Tract 610.01; Brevard County; Florida,1165
1400000US12009061002,Census Tract 610.02; Brevard County; Florida,494
1400000US12009061100,Census Tract 611; Brevard County; Florida,1475
1400000US12009061201,Census Tract 612.01; Brevard County; Florida,1540
1400000US12009061202,Census Tract 612.02; Brevard County; Florida,1010
1400000US12009062106,Census Tract 621.06; Brevard County; Florida,451
1400000US12009062108,Census Tract 621.08; Brevard County; Florida,1063
1400000US12009062109,Census Tract 621.09; Brevard County; Florida,532
1400000US12009062110,Census Tract 621.10; Brevard County; Florida,665
1400000US12009062111,Census Tract 621.11; Brevard County; Florida,412
1400000US12009062112,Census Tract 621.12; Brevard County; Florida,369
1400000US12009062113,Census Tract 621.13; Brevard County; Florida,1185
1400000US12009062114,Census Tract 621.14; Brevard County; Florida,373
1400000US12009062115,Census Tract 621.15; Brevard County; Florida,442
1400000US12009062301,Census Tract 623.01; Brevard County; Florida,328
1400000US12009062302,Census Tract 623.02; Brevard County; Florida,480
1400000US12009062401,Census Tract 624.01; Brevard County; Florida,332
1400000US12009062402,Census Tract 624.02; Brevard County; Florida,348
1400000US12009062500,Census Tract 625; Brevard County; Florida,425
1400000US12009062600,Census Tract 626; Brevard County; Florida,111
1400000US12009062800,Census Tract 628; Brevard County; Florida,1365
1400000US12009062900,Census Tract 629; Brevard County; Florida,1061
1400000US12009063000,Census Tract 630; Brevard County; Florida,1046
1400000US12009063102,Census Tract 631.02; Brevard County; Florida,3235
1400000US12009063104,Census Tract 631.04; Brevard County; Florida,1260
1400000US12009063105,Census Tract 631.05; Brevard County; Florida,2359
1400000US12009063106,Census Tract 631.06; Brevard County; Florida,1685
1400000US12009063108,Census Tract 631.08; Brevard County; Florida,2249
1400000US12009063109,Census Tract 631.09; Brevard County; Florida,1914
1400000US12009064102,Census Tract 641.02; Brevard County; Florida,2382
1400000US12009064123,Census Tract 641.23; Brevard County; Florida,2169
1400000US12009064124,Census Tract 641.24; Brevard County; Florida,953
1400000US12009064126,Census Tract 641.26; Brevard County; Florida,1505
1400000US12009064127,Census Tract 641.27; Brevard County; Florida,3155
1400000US12009064128,Census Tract 641.28; Brevard County; Florida,4880
1400000US12009064129,Census Tract 641.29; Brevard County; Florida,810
1400000US12009064130,Census Tract 641.30; Brevard County; Florida,853
1400000US12009064201,Census Tract 642.01; Brevard County; Florida,443
1400000US12009064202,Census Tract 642.02; Brevard County; Florida,561
1400000US12009064301,Census Tract 643.01; Brevard County; Florida,785
1400000US12009064302,Census Tract 643.02; Brevard County; Florida,1165
1400000US12009064400,Census Tract 644; Brevard County; Florida,1025
1400000US12009064500,Census Tract 645; Brevard County; Florida,665
1400000US12009064601,Census Tract 646.01; Brevard County; Florida,2410
1400000US12009064602,Census Tract 646.02; Brevard County; Florida,593
1400000US12009064701,Census Tract 647.01; Brevard County; Florida,589
1400000US12009064702,Census Tract 647.02; Brevard County; Florida,381
1400000US12009064800,Census Tract 648; Brevard County; Florida,523
1400000US12009064901,Census Tract 649.01; Brevard County; Florida,1882
1400000US12009064902,Census Tract 649.02; Brevard County; Florida,712
1400000US12009065001,Census Tract 650.01; Brevard County; Florida,1187
1400000US12009065022,Census Tract 650.22; Brevard County; Florida,1355
1400000US12009065023,Census Tract 650.23; Brevard County; Florida,1476
1400000US12009065024,Census Tract 650.24; Brevard County; Florida,2083
1400000US12009065025,Census Tract 650.25; Brevard County; Florida,436
1400000US12009065123,Census Tract 651.23; Brevard County; Florida,789
1400000US12009065124,Census Tract 651.24; Brevard County; Florida,167
1400000US12009065126,Census Tract 651.26; Brevard County; Florida,933
1400000US12009065127,Census Tract 651.27; Brevard County; Florida,1327
1400000US12009065128,Census Tract 651.28; Brevard County; Florida,600
1400000US12009065129,Census Tract 651.29; Brevard County; Florida,1391
1400000US12009065130,Census Tract 651.30; Brevard County; Florida,616
1400000US12009065131,Census Tract 651.31; Brevard County; Florida,638
1400000US12009065201,Census Tract 652.01; Brevard County; Florida,793
1400000US12009065202,Census Tract 652.02; Brevard County; Florida,1027
1400000US12009065231,Census Tract 652.31; Brevard County; Florida,1877
1400000US12009065236,Census Tract 652.36; Brevard County; Florida,384
1400000US12009065237,Census Tract 652.37; Brevard County; Florida,481
1400000US12009065238,Census Tract 652.38; Brevard County; Florida,72
1400000US12009065239,Census Tract 652.39; Brevard County; Florida,657
1400000US12009065240,Census Tract 652.40; Brevard County; Florida,307
1400000US12009066101,Census Tract 661.01; Brevard County; Florida,2066
1400000US12009066103,Census Tract 661.03; Brevard County; Florida,1200
1400000US12009066104,Census Tract 661.04; Brevard County; Florida,1857
1400000US12009066200,Census Tract 662; Brevard County; Florida,1469
1400000US12009066301,Census Tract 663.01; Brevard County; Florida,2574
1400000US12009066302,Census Tract 663.02; Brevard County; Florida,1531
1400000US12009066400,Census Tract 664; Brevard County; Florida,1841
1400000US12009066500,Census Tract 665; Brevard County; Florida,1736
1400000US12009066600,Census Tract 666; Brevard County; Florida,1949
1400000US12009066700,Census Tract 667; Brevard County; Florida,2013
1400000US12009066800,Census Tract 668; Brevard County; Florida,576
1400000US12009066900,Census Tract 669; Brevard County; Florida,2327
1400000US12009067100,Census Tract 671; Brevard County; Florida,405
1400000US12009068101,Census Tract 681.01; Brevard County; Florida,1650
1400000US12009068102,Census Tract 681.02; Brevard County; Florida,1153
1400000US12009068400,Census Tract 684; Brevard County; Florida,996
1400000US12009068501,Census Tract 685.01; Brevard County; Florida,980
1400000US12009068502,Census Tract 685.02; Brevard County; Florida,778
1400000US12009068601,Census Tract 686.01; Brevard County; Florida,842
1400000US12009068603,Census Tract 686.03; Brevard County; Florida,486
1400000US12009068604,Census Tract 686.04; Brevard County; Florida,742
1400000US12009069100,Census Tract 691; Brevard County; Florida,1484
1400000US12009069200,Census Tract 692; Brevard County; Florida,713
1400000US12009069300,Census Tract 693; Brevard County; Florida,931
1400000US12009069400,Census Tract 694; Brevard County; Florida,3003
1400000US12009069700,Census Tract 697; Brevard County; Florida,430
1400000US12009069801,Census Tract 698.01; Brevard County; Florida,1324
1400000US12009069802,Census Tract 698.02; Brevard County; Florida,912
1400000US12009069903,Census Tract 699.03; Brevard County; Florida,627
1400000US12009069904,Census Tract 699.04; Brevard County; Florida,1897
1400000US12009069905,Census Tract 699.05; Brevard County; Florida,0
1400000US12009069906,Census Tract 699.06; Brevard County; Florida,227
1400000US12009069907,Census Tract 699.07; Brevard County; Florida,830
1400000US12009071100,Census Tract 711; Brevard County; Florida,947
1400000US12009071201,Census Tract 712.01; Brevard County; Florida,3041
1400000US12009071202,Census Tract 712.02; Brevard County; Florida,449
1400000US12009071203,Census Tract 712.03; Brevard County; Florida,833
1400000US12009071204,Census Tract 712.04; Brevard County; Florida,14
1400000US12009071205,Census Tract 712.05; Brevard County; Florida,1914
1400000US12009071335,Census Tract 713.35; Brevard County; Florida,1348
1400000US12009071337,Census Tract 713.37; Brevard County; Florida,1496
1400000US12009071339,Census Tract 713.39; Brevard County; Florida,1274
1400000US12009071341,Census Tract 713.41; Brevard County; Florida,838
1400000US12009071342,Census Tract 713.42; Brevard County; Florida,439
1400000US12009071343,Census Tract 713.43; Brevard County; Florida,628
1400000US12009071344,Census Tract 713.44; Brevard County; Florida,736
1400000US12009071345,Census Tract 713.45; Brevard County; Florida,1197
1400000US12009071346,Census Tract 713.46; Brevard County; Florida,1517
1400000US12009071347,Census Tract 713.47; Brevard County; Florida,685
1400000US12009071348,Census Tract 713.48; Brevard County; Florida,1453
1400000US12009071349,Census Tract 713.49; Brevard County; Florida,611
1400000US12009071350,Census Tract 713.50; Brevard County; Florida,741
1400000US12009071351,Census Tract 713.51; Brevard County; Florida,547
1400000US12009071352,Census Tract 713.52; Brevard County; Florida,441
1400000US12009071353,Census Tract 713.53; Brevard County; Florida,2620
1400000US12009071354,Census Tract 713.54; Brevard County; Florida,1962
1400000US12009071401,Census Tract 714.01; Brevard County; Florida,418
1400000US12009071402,Census Tract 714.02; Brevard County; Florida,262
1400000US12009071500,Census Tract 715; Brevard County; Florida,1115
1400000US12009071601,Census Tract 716.01; Brevard County; Florida,430
1400000US12009071602,Census Tract 716.02; Brevard County; Florida,979
1400000US12009071700,Census Tract 717; Brevard County; Florida,2168
1400000US12009980000,Census Tract 9800; Brevard County; Florida,0
1400000US12009980100,Census Tract 9801; Brevard County; Florida,0
1400000US12009990000,Census Tract 9900; Brevard County; Florida,0
1400000US12011010102,Census Tract 101.02; Broward County; Florida,958
1400000US12011010103,Census Tract 101.03; Broward County; Florida,1175
1400000US12011010104,Census Tract 101.04; Broward County; Florida,854
1400000US12011010201,Census Tract 102.01; Broward County; Florida,614
1400000US12011010202,Census Tract 102.02; Broward County; Florida,952
1400000US12011010304,Census Tract 103.04; Broward County; Florida,313
1400000US12011010305,Census Tract 103.05; Broward County; Florida,899
1400000US12011010306,Census Tract 103.06; Broward County; Florida,613
1400000US12011010307,Census Tract 103.07; Broward County; Florida,925
1400000US12011010308,Census Tract 103.08; Broward County; Florida,1607
1400000US12011010401,Census Tract 104.01; Broward County; Florida,1466
1400000US12011010402,Census Tract 104.02; Broward County; Florida,739
1400000US12011010403,Census Tract 104.03; Broward County; Florida,1662
1400000US12011010405,Census Tract 104.05; Broward County; Florida,1683
1400000US12011010406,Census Tract 104.06; Broward County; Florida,897
1400000US12011010407,Census Tract 104.07; Broward County; Florida,1113
1400000US12011010502,Census Tract 105.02; Broward County; Florida,930
1400000US12011010503,Census Tract 105.03; Broward County; Florida,10461
1400000US12011010504,Census Tract 105.04; Broward County; Florida,2114
1400000US12011010601,Census Tract 106.01; Broward County; Florida,3397
1400000US12011010603,Census Tract 106.03; Broward County; Florida,1846
1400000US12011010604,Census Tract 106.04; Broward County; Florida,1288
1400000US12011010605,Census Tract 106.05; Broward County; Florida,2549
1400000US12011010606,Census Tract 106.06; Broward County; Florida,2209
1400000US12011010609,Census Tract 106.09; Broward County; Florida,1366
1400000US12011010610,Census Tract 106.10; Broward County; Florida,1673
1400000US12011010611,Census Tract 106.11; Broward County; Florida,1293
1400000US12011010612,Census Tract 106.12; Broward County; Florida,1722
1400000US12011010613,Census Tract 106.13; Broward County; Florida,703
1400000US12011010614,Census Tract 106.14; Broward County; Florida,803
1400000US12011010615,Census Tract 106.15; Broward County; Florida,1020
1400000US12011010701,Census Tract 107.01; Broward County; Florida,778
1400000US12011010702,Census Tract 107.02; Broward County; Florida,1376
1400000US12011010800,Census Tract 108; Broward County; Florida,1805
1400000US12011010901,Census Tract 109.01; Broward County; Florida,862
1400000US12011010902,Census Tract 109.02; Broward County; Florida,1519
1400000US12011011000,Census Tract 110; Broward County; Florida,1020
1400000US12011020101,Census Tract 201.01; Broward County; Florida,2444
1400000US12011020103,Census Tract 201.03; Broward County; Florida,1125
1400000US12011020104,Census Tract 201.04; Broward County; Florida,499
1400000US12011020204,Census Tract 202.04; Broward County; Florida,1578
1400000US12011020205,Census Tract 202.05; Broward County; Florida,1553
1400000US12011020206,Census Tract 202.06; Broward County; Florida,1138
1400000US12011020209,Census Tract 202.09; Broward County; Florida,358
1400000US12011020210,Census Tract 202.10; Broward County; Florida,991
1400000US12011020211,Census Tract 202.11; Broward County; Florida,321
1400000US12011020212,Census Tract 202.12; Broward County; Florida,557
1400000US12011020213,Census Tract 202.13; Broward County; Florida,888
1400000US12011020214,Census Tract 202.14; Broward County; Florida,620
1400000US12011020302,Census Tract 203.02; Broward County; Florida,1310
1400000US12011020308,Census Tract 203.08; Broward County; Florida,712
1400000US12011020309,Census Tract 203.09; Broward County; Florida,2090
1400000US12011020311,Census Tract 203.11; Broward County; Florida,855
1400000US12011020312,Census Tract 203.12; Broward County; Florida,1170
1400000US12011020313,Census Tract 203.13; Broward County; Florida,1416
1400000US12011020314,Census Tract 203.14; Broward County; Florida,1011
1400000US12011020315,Census Tract 203.15; Broward County; Florida,987
1400000US12011020316,Census Tract 203.16; Broward County; Florida,1184
1400000US12011020317,Census Tract 203.17; Broward County; Florida,896
1400000US12011020318,Census Tract 203.18; Broward County; Florida,3129
1400000US12011020319,Census Tract 203.19; Broward County; Florida,2109
1400000US12011020320,Census Tract 203.20; Broward County; Florida,1216
1400000US12011020321,Census Tract 203.21; Broward County; Florida,822
1400000US12011020322,Census Tract 203.22; Broward County; Florida,1117
1400000US12011020323,Census Tract 203.23; Broward County; Florida,969
1400000US12011020324,Census Tract 203.24; Broward County; Florida,1500
1400000US12011020325,Census Tract 203.25; Broward County; Florida,810
1400000US12011020326,Census Tract 203.26; Broward County; Florida,1352
1400000US12011020404,Census Tract 204.04; Broward County; Florida,1636
1400000US12011020405,Census Tract 204.05; Broward County; Florida,479
1400000US12011020406,Census Tract 204.06; Broward County; Florida,1303
1400000US12011020407,Census Tract 204.07; Broward County; Florida,1125
1400000US12011020412,Census Tract 204.12; Broward County; Florida,207
1400000US12011020414,Census Tract 204.14; Broward County; Florida,1558
1400000US12011020415,Census Tract 204.15; Broward County; Florida,756
1400000US12011020416,Census Tract 204.16; Broward County; Florida,594
1400000US12011020417,Census Tract 204.17; Broward County; Florida,1049
1400000US12011020418,Census Tract 204.18; Broward County; Florida,684
1400000US12011020419,Census Tract 204.19; Broward County; Florida,859
1400000US12011020420,Census Tract 204.20; Broward County; Florida,398
1400000US12011020421,Census Tract 204.21; Broward County; Florida,560
1400000US12011020501,Census Tract 205.01; Broward County; Florida,770
1400000US12011020502,Census Tract 205.02; Broward County; Florida,1222
1400000US12011030100,Census Tract 301; Broward County; Florida,1677
1400000US12011030201,Census Tract 302.01; Broward County; Florida,697
1400000US12011030202,Census Tract 302.02; Broward County; Florida,276
1400000US12011030203,Census Tract 302.03; Broward County; Florida,805
1400000US12011030301,Census Tract 303.01; Broward County; Florida,499
1400000US12011030302,Census Tract 303.02; Broward County; Florida,609
1400000US12011030401,Census Tract 304.01; Broward County; Florida,378
1400000US12011030402,Census Tract 304.02; Broward County; Florida,238
1400000US12011030500,Census Tract 305; Broward County; Florida,562
1400000US12011030601,Census Tract 306.01; Broward County; Florida,303
1400000US12011030602,Census Tract 306.02; Broward County; Florida,619
1400000US12011030702,Census Tract 307.02; Broward County; Florida,670
1400000US12011030703,Census Tract 307.03; Broward County; Florida,1433
1400000US12011030704,Census Tract 307.04; Broward County; Florida,1675
1400000US12011030705,Census Tract 307.05; Broward County; Florida,1146
1400000US12011030803,Census Tract 308.03; Broward County; Florida,830
1400000US12011030804,Census Tract 308.04; Broward County; Florida,130
1400000US12011030805,Census Tract 308.05; Broward County; Florida,873
1400000US12011030806,Census Tract 308.06; Broward County; Florida,1221
1400000US12011030902,Census Tract 309.02; Broward County; Florida,1422
1400000US12011030903,Census Tract 309.03; Broward County; Florida,1147
1400000US12011030904,Census Tract 309.04; Broward County; Florida,1411
1400000US12011031001,Census Tract 310.01; Broward County; Florida,639
1400000US12011031002,Census Tract 310.02; Broward County; Florida,1445
1400000US12011031101,Census Tract 311.01; Broward County; Florida,844
1400000US12011031102,Census Tract 311.02; Broward County; Florida,1161
1400000US12011031203,Census Tract 312.03; Broward County; Florida,681
1400000US12011031204,Census Tract 312.04; Broward County; Florida,1270
1400000US12011031205,Census Tract 312.05; Broward County; Florida,686
1400000US12011031206,Census Tract 312.06; Broward County; Florida,1579
1400000US12011031207,Census Tract 312.07; Broward County; Florida,2008
1400000US12011040101,Census Tract 401.01; Broward County; Florida,541
1400000US12011040102,Census Tract 401.02; Broward County; Florida,1222
1400000US12011040203,Census Tract 402.03; Broward County; Florida,662
1400000US12011040204,Census Tract 402.04; Broward County; Florida,1770
1400000US12011040205,Census Tract 402.05; Broward County; Florida,2001
1400000US12011040206,Census Tract 402.06; Broward County; Florida,1419
1400000US12011040300,Census Tract 403; Broward County; Florida,1154
1400000US12011040401,Census Tract 404.01; Broward County; Florida,1029
1400000US12011040402,Census Tract 404.02; Broward County; Florida,1163
1400000US12011040502,Census Tract 405.02; Broward County; Florida,2147
1400000US12011040503,Census Tract 405.03; Broward County; Florida,696
1400000US12011040505,Census Tract 405.05; Broward County; Florida,523
1400000US12011040506,Census Tract 405.06; Broward County; Florida,1118
1400000US12011040601,Census Tract 406.01; Broward County; Florida,1981
1400000US12011040602,Census Tract 406.02; Broward County; Florida,1323
1400000US12011040701,Census Tract 407.01; Broward County; Florida,1569
1400000US12011040702,Census Tract 407.02; Broward County; Florida,1740
1400000US12011040801,Census Tract 408.01; Broward County; Florida,989
1400000US12011040802,Census Tract 408.02; Broward County; Florida,1130
1400000US12011040901,Census Tract 409.01; Broward County; Florida,498
1400000US12011040902,Census Tract 409.02; Broward County; Florida,288
1400000US12011041000,Census Tract 410; Broward County; Florida,314
1400000US12011041100,Census Tract 411; Broward County; Florida,617
1400000US12011041200,Census Tract 412; Broward County; Florida,477
1400000US12011041300,Census Tract 413; Broward County; Florida,725
1400000US12011041400,Census Tract 414; Broward County; Florida,347
1400000US12011041500,Census Tract 415; Broward County; Florida,222
1400000US12011041601,Census Tract 416.01; Broward County; Florida,521
1400000US12011041602,Census Tract 416.02; Broward County; Florida,133
1400000US12011041700,Census Tract 417; Broward County; Florida,534
1400000US12011041801,Census Tract 418.01; Broward County; Florida,912
1400000US12011041802,Census Tract 418.02; Broward County; Florida,2021
1400000US12011041900,Census Tract 419; Broward County; Florida,1758
1400000US12011042000,Census Tract 420; Broward County; Florida,1143
1400000US12011042100,Census Tract 421; Broward County; Florida,1371
1400000US12011042200,Census Tract 422; Broward County; Florida,1211
1400000US12011042301,Census Tract 423.01; Broward County; Florida,2113
1400000US12011042302,Census Tract 423.02; Broward County; Florida,616
1400000US12011042400,Census Tract 424; Broward County; Florida,605
1400000US12011042501,Census Tract 425.01; Broward County; Florida,2841
1400000US12011042502,Census Tract 425.02; Broward County; Florida,3219
1400000US12011042601,Census Tract 426.01; Broward County; Florida,1425
1400000US12011042602,Census Tract 426.02; Broward County; Florida,781
1400000US12011042700,Census Tract 427; Broward County; Florida,965
1400000US12011042801,Census Tract 428.01; Broward County; Florida,212
1400000US12011042802,Census Tract 428.02; Broward County; Florida,362
1400000US12011042900,Census Tract 429; Broward County; Florida,691
1400000US12011043001,Census Tract 430.01; Broward County; Florida,672
1400000US12011043002,Census Tract 430.02; Broward County; Florida,956
1400000US12011043100,Census Tract 431; Broward County; Florida,1285
1400000US12011043301,Census Tract 433.01; Broward County; Florida,1391
1400000US12011043302,Census Tract 433.02; Broward County; Florida,323
1400000US12011050100,Census Tract 501; Broward County; Florida,604
1400000US12011050204,Census Tract 502.04; Broward County; Florida,1247
1400000US12011050205,Census Tract 502.05; Broward County; Florida,1263
1400000US12011050206,Census Tract 502.06; Broward County; Florida,1863
1400000US12011050207,Census Tract 502.07; Broward County; Florida,1137
1400000US12011050208,Census Tract 502.08; Broward County; Florida,984
1400000US12011050301,Census Tract 503.01; Broward County; Florida,948
1400000US12011050306,Census Tract 503.06; Broward County; Florida,188
1400000US12011050308,Census Tract 503.08; Broward County; Florida,284
1400000US12011050309,Census Tract 503.09; Broward County; Florida,103
1400000US12011050311,Census Tract 503.11; Broward County; Florida,595
1400000US12011050312,Census Tract 503.12; Broward County; Florida,440
1400000US12011050313,Census Tract 503.13; Broward County; Florida,501
1400000US12011050314,Census Tract 503.14; Broward County; Florida,431
1400000US12011050315,Census Tract 503.15; Broward County; Florida,316
1400000US12011050316,Census Tract 503.16; Broward County; Florida,526
1400000US12011050401,Census Tract 504.01; Broward County; Florida,746
1400000US12011050402,Census Tract 504.02; Broward County; Florida,990
1400000US12011050501,Census Tract 505.01; Broward County; Florida,530
1400000US12011050502,Census Tract 505.02; Broward County; Florida,930
1400000US12011050601,Census Tract 506.01; Broward County; Florida,1334
1400000US12011050602,Census Tract 506.02; Broward County; Florida,891
1400000US12011050701,Census Tract 507.01; Broward County; Florida,215
